"reachNumber","reachID","length","width","depth","localArea","localPET","localCin","d","connect","order","lake"
8207,22722947,173,5.70804823667385,0.230813072998016,136800,0.005,10,0.1,"22722945,22722967",2,0
8206,22724473,820,5.8606510842598,0.235115448257787,945900,0.005,10,0.1,"22722947",2,0
9797,22724377,410,2.32209863523867,0.122980292946787,1240200,0.005,10,0.1,"22722949",1,0
10222,22724393,40,2.82786374948197,0.141169213610545,5400,0.005,10,0.1,"22722983",1,0
8389,22724431,257,5.33323944365709,0.220096337956063,219600,0.005,10,0.1,"22722985",2,0
8526,22724441,24,5.09026371602675,0.213028278075441,1800,0.005,10,0.1,"22722993",2,0
9742,22722999,121,4.30551507193814,0.189468335006943,14400,0.005,10,0.1,"22722995,22722997",2,0
9741,22724449,59,4.30968371803291,0.189596728064071,17100,0.005,10,0.1,"22722999",2,0
9843,22724443,241,3.48943792699958,0.163548999978589,139500,0.005,10,0.1,"22723001",1,0
9739,22724451,62,4.73266342376329,0.202438444982805,7200,0.005,10,0.1,"22723005",2,0
7667,22724413,402,3.1871851788383,0.15349851100073,1310400,0.005,10,0.1,"22723031",1,0
8550,22722991,1619,6.16654839881939,0.24363998275668,1954800,0.005,10,0.1,"22723057,22723825",2,0
9775,22723087,845,3.61899608794062,0.167776348649428,799200,0.005,10,0.1,"22723085,22723127",2,0
9774,22723075,1970,4.42421904235042,0.193109968695707,3078000,0.005,10,0.1,"22723087",2,0
9764,22723121,1641,2.52063880853189,0.130249628096521,819900,0.005,10,0.1,"22723141,22723123",2,0
8498,22723137,1474,3.08817543533488,0.150144847729915,1153800,0.005,10,0.1,"22723147,22723153",2,0
9859,22723165,804,3.80912076826277,0.173898717263771,1878300,0.005,10,0.1,"22723155,22723151",2,0
9771,22724495,1,1.34865411588821,0.0840716297600477,0,0.005,10,0.1,"22723175",1,0
9853,22723167,1786,3.59502643631358,0.16699771192528,1183500,0.005,10,0.1,"22723183",1,0
8506,22724541,298,2.69433005559419,0.136469190676253,207900,0.005,10,0.1,"22723203",1,0
8476,22724779,316,1.57420204147806,0.0936831292578371,259200,0.005,10,0.1,"22723259",1,0
8462,22724553,189,4.43291219515626,0.193375499869053,1026000,0.005,10,0.1,"22723347",1,0
7645,22723357,625,4.24655855115745,0.187648475522258,310500,0.005,10,0.1,"22723349,22723351",2,0
7643,22723367,182,5.25643222447081,0.217872695917247,108900,0.005,10,0.1,"22723357,22723361",2,0
7644,22726255,4761,6.72289517388885,0.258826355242398,10085400,0.005,10,0.1,"22723367",2,0
9485,22723985,248,3.67322388652833,0.169532216005654,114300,0.005,10,0.1,"22723537",1,0
9673,22723685,1443,11.509461407626,0.377100891998331,473400,0.005,10,0.1,"22723663,22723681",2,0
9671,22722551,147,11.5226839027943,0.377404098986458,24300,0.005,10,0.1,"22723685",2,0
9954,22722589,358,3.2851519321426,0.1567862167587,111600,0.005,10,0.1,"22723715",1,0
9679,22724271,71,1.46588116318905,0.0891226710123827,8100,0.005,10,0.1,"22723739",1,0
9993,22723783,3281,23.8616749793903,0.628217032609445,3195900,0.005,10,0.1,"22723781,22723779",2,0
